name,2dumap1,2dumap2,3dumap1,3dumap2,3dumap3
GRB130509839,10.408346,3.2351663,10.052339,3.7181566,4.3863263
GRB130510877,10.240347,2.6954284,9.770189,2.8710313,4.2383575
GRB130514560,7.6774583,6.182227,8.067533,6.2834053,4.076507
GRB130515056,2.677976,3.798829,2.9132662,4.1337833,4.6236362
GRB130515430,9.779451,4.266359,9.794642,4.1940737,4.497171
GRB130517781,9.727847,2.4589598,9.851226,2.951077,3.449702
GRB130518551,7.0112844,7.6987157,7.246541,7.6970825,3.28972
GRB130518580,8.009827,3.623399,8.548442,4.022649,3.3108468
GRB130522510,7.725855,3.1813486,8.724564,3.6484604,2.697262
GRB130523095,8.572273,2.5395916,9.128447,2.9931476,2.9193707
GRB130523198,9.166046,7.174944,8.842088,6.91274,5.9512606
GRB130527627,9.308497,1.9210818,9.242182,2.434807,3.892254
GRB130528503,9.264812,5.773035,9.43282,5.781213,4.827671
GRB130528695,8.907804,4.12976,9.057643,4.312639,3.9041011
GRB130530719,10.086816,4.5764832,9.219677,4.2379794,5.1045227
GRB130604033,8.760447,2.1008515,8.953808,2.607737,3.2686176
GRB130606316,10.529322,4.277304,9.819842,4.026158,5.095159
GRB130606497,8.091502,2.6473448,8.494311,2.8809896,3.4517286
GRB130609129,7.7532845,6.484788,8.008755,6.546734,4.3110986
GRB130609902,9.595693,3.28236,8.9025955,2.889246,4.820395
GRB130610133,9.555973,2.295888,9.400234,2.7536805,3.997519
GRB130611538,9.737657,2.8745518,9.94937,3.467926,3.6451283
GRB130612141,8.045723,6.849186,8.347616,6.928524,4.344286
GRB130612456,9.424262,7.913287,8.811918,7.5418477,6.9578166
GRB130614997,8.774046,7.9697685,8.647478,7.660815,6.16204
GRB130615398,10.128213,5.1225004,9.727088,4.9625688,5.167138
GRB130617564,5.9378505,6.849289,6.106938,6.940255,2.7965794
GRB130620498,8.180347,7.2289844,8.330573,7.177613,4.6213446
GRB130622615,5.1719794,5.773726,5.3849797,5.988607,3.2860909
GRB130623130,7.8460913,4.823601,8.463469,4.9403124,3.4719276
GRB130623396,9.459135,4.6067567,9.452005,4.624538,4.520739
GRB130623488,7.9801803,2.8493583,8.848222,3.252726,2.8195047
GRB130623699,8.745506,5.0619173,8.78283,5.228201,4.560454
GRB130623790,8.843959,3.2162242,9.369623,3.7054243,3.0054486
GRB130624093,10.370348,4.633735,9.610546,4.2947083,5.3315096
GRB130626452,3.318736,3.71779,3.2569246,3.7865114,4.907564
GRB130626596,9.819477,5.1865954,9.763591,5.103285,4.953838
GRB130627372,7.383664,6.7400093,8.092268,6.8596325,3.6306555
GRB130628531,9.921002,6.270156,9.251809,5.802362,5.883096
GRB130628860,4.331835,5.4437823,4.5843987,5.674053,3.5380251
GRB130630272,10.592346,4.8490047,9.217023,4.2637787,5.7276764
GRB130701060,10.570003,4.389869,9.226919,4.030994,5.6345367
GRB130701761,7.435598,7.8708377,7.535265,7.8396297,3.6189463
GRB130702004,10.400484,4.537446,9.824407,4.2330365,5.0773416
GRB130702951,8.269028,5.805356,8.786701,5.9524913,4.11635
GRB130704560,9.537856,7.8338146,8.866394,7.4666476,6.9930983
GRB130705398,2.6938314,3.0529628,2.0799694,2.0314858,7.4221845
GRB130706900,2.428123,2.8358047,1.929489,1.8734921,7.597375
GRB130707505,8.138415,3.789287,8.601926,4.1415367,3.4515016
GRB130708488,9.241312,6.279787,9.138696,6.0989923,5.2006307
GRB130715906,8.415837,3.1431322,9.029195,3.611253,3.1044853
GRB130716352,9.842586,4.8666487,9.783617,4.765436,4.629043
GRB130716442,5.8395057,6.8451486,6.018319,6.9365835,2.7115655
GRB130717734,6.941174,5.7384143,7.4025173,5.772349,3.655286
GRB130720116,9.176576,6.266364,9.303182,6.1888595,5.098942
GRB130720582,8.415896,3.4593081,8.761945,3.6842785,3.5216727
GRB130722021,9.838584,4.687866,9.811284,4.542244,4.6133747
GRB130722990,6.729383,7.4700456,7.109776,7.481477,3.1009676
GRB130723092,6.96752,7.1892548,7.3808546,7.261132,3.3461268
GRB130725527,9.473319,7.450255,8.909104,7.067636,6.5119195
GRB130727698,10.417368,4.6132846,9.453182,4.3146534,5.4424844
GRB130730243,7.984219,6.327963,8.5465555,6.4828324,4.0105176
GRB130802730,3.0569408,3.385626,3.0747747,3.565226,5.125103
GRB130803419,8.693249,7.7126603,8.620659,7.506328,5.8859005
GRB130804023,4.178354,5.4410424,4.200872,5.318143,3.5267391
GRB130808253,2.7242374,3.6341748,2.8004081,3.5497358,5.3503704
GRB130811186,9.494921,2.0112293,9.42526,2.4956586,3.8015277
GRB130813791,8.504515,6.6678014,8.648948,6.599343,4.7673297
GRB130815420,9.084086,4.209279,8.97934,4.098958,4.2957716
GRB130815660,8.987183,7.6458416,8.609817,7.338814,6.2175465
GRB130816074,7.749684,4.817853,8.366787,4.940576,3.473778
GRB130818941,10.2633915,4.6323776,9.494023,4.2796383,5.2269216
GRB130819394,9.041805,2.8693357,9.298357,3.360633,3.3007991
GRB130821674,8.345493,3.2152975,8.581839,3.3046455,3.755941
GRB130828306,8.393933,3.3329532,8.797119,3.5855603,3.3995342
GRB130828808,8.580975,7.99351,8.5783205,7.7304406,5.96869
GRB130829672,9.684186,6.747338,8.9522295,6.238391,6.007565
GRB130830864,8.664088,5.1394157,9.185842,5.3980184,4.157243
GRB130830921,8.751157,5.9206448,8.892853,5.833798,4.7007766
GRB130831058,8.474886,5.623588,9.212653,5.974571,3.9891534
GRB130903033,9.112407,3.0425656,9.35766,3.4759886,3.625993
GRB130905377,9.774422,6.206087,9.129233,5.7633157,5.671156
GRB130906222,8.447202,6.3063445,8.789922,6.380882,4.518025
GRB130906435,7.943956,6.590931,8.40364,6.6761827,4.1256366
